"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","592","deletePetById","","","passed","","","com.petstore.pet.PetFunctionalTest","com.petstore.pet.PetFunctionalTest",""
"","331","createNewPetSuccessfully","","","passed","","","com.petstore.pet.PetContractTest","com.petstore.pet.PetContractTest",""
"","632","returnPetById","","","passed","","","com.petstore.pet.PetFunctionalTest","com.petstore.pet.PetFunctionalTest",""
"","284","notFoundDeletePetById","","","passed","","","com.petstore.pet.PetFunctionalTest","com.petstore.pet.PetFunctionalTest",""
"","289","notFoundPetById","","","passed","","","com.petstore.pet.PetFunctionalTest","com.petstore.pet.PetFunctionalTest",""
"","2484","orderE2EWithPetAndStatusPlaced","","","passed","","","com.petstore.e2e.FullOrderE2ETest","com.petstore.e2e.FullOrderE2ETest",""
"","462","createNewOrderSuccessfully","","","passed","","","com.petstore.store.OrderContractTest","com.petstore.store.OrderContractTest",""
"","303","createNewPetSuccessfully","","","passed","","","com.petstore.pet.PetFunctionalTest","com.petstore.pet.PetFunctionalTest",""
"","590","returnPetById","","","passed","","","com.petstore.pet.PetContractTest","com.petstore.pet.PetContractTest",""
