"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","308","returnPetById","","","passed","","","com.petstore.pet.PetFunctionalTest","com.petstore.pet.PetFunctionalTest",""
"","267","deletePetById","","","passed","","","com.petstore.pet.PetFunctionalTest","com.petstore.pet.PetFunctionalTest",""
"","135","createNewPetSuccessfully","","","passed","","","com.petstore.pet.PetContractTest","com.petstore.pet.PetContractTest",""
"","1952","orderE2EWithPetAndStatusPlaced","","","passed","","","com.petstore.e2e.FullOrderE2ETest","com.petstore.e2e.FullOrderE2ETest",""
"","120","notFoundPetById","","","passed","","","com.petstore.pet.PetFunctionalTest","com.petstore.pet.PetFunctionalTest",""
"","296","createNewOrderSuccessfully","","","passed","","","com.petstore.store.OrderContractTest","com.petstore.store.OrderContractTest",""
"","114","createNewPetSuccessfully","","","passed","","","com.petstore.pet.PetFunctionalTest","com.petstore.pet.PetFunctionalTest",""
"","120","notFoundDeletePetById","","","passed","","","com.petstore.pet.PetFunctionalTest","com.petstore.pet.PetFunctionalTest",""
"","259","returnPetById","","","passed","","","com.petstore.pet.PetContractTest","com.petstore.pet.PetContractTest",""
