"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","280","createNewOrderSuccessfully","","","passed","","","com.petstore.store.OrderContractTest","com.petstore.store.OrderContractTest",""
"","110","createNewPetSuccessfully","","","passed","","","com.petstore.pet.PetFunctionalTest","com.petstore.pet.PetFunctionalTest",""
"","132","createNewPetSuccessfully","","","passed","","","com.petstore.pet.PetContractTest","com.petstore.pet.PetContractTest",""
"","323","returnPetById","","","passed","","","com.petstore.pet.PetFunctionalTest","com.petstore.pet.PetFunctionalTest",""
"","127","notFoundPetById","","","passed","","","com.petstore.pet.PetFunctionalTest","com.petstore.pet.PetFunctionalTest",""
"","259","deletePetById","","","passed","","","com.petstore.pet.PetFunctionalTest","com.petstore.pet.PetFunctionalTest",""
"","122","notFoundDeletePetById","","","passed","","","com.petstore.pet.PetFunctionalTest","com.petstore.pet.PetFunctionalTest",""
"","259","returnPetById","","","passed","","","com.petstore.pet.PetContractTest","com.petstore.pet.PetContractTest",""
"","1932","orderE2EWithPetAndStatusPlaced","","","passed","","","com.petstore.e2e.FullOrderE2ETest","com.petstore.e2e.FullOrderE2ETest",""
