"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","163","deletePetById","","","passed","","","com.petstore.pet.PetFunctionalTest","com.petstore.pet.PetFunctionalTest",""
"","1835","orderE2EWithPetAndStatusPlaced","","","passed","","","com.petstore.e2e.FullOrderE2ETest","com.petstore.e2e.FullOrderE2ETest",""
"","57","createNewPetSuccessfully","","","passed","","","com.petstore.pet.PetFunctionalTest","com.petstore.pet.PetFunctionalTest",""
"","152","returnPetById","","","passed","","","com.petstore.pet.PetContractTest","com.petstore.pet.PetContractTest",""
"","245","createNewOrderSuccessfully","","","passed","","","com.petstore.store.OrderContractTest","com.petstore.store.OrderContractTest",""
"","68","notFoundPetById","","","passed","","","com.petstore.pet.PetFunctionalTest","com.petstore.pet.PetFunctionalTest",""
"","71","notFoundDeletePetById","","","passed","","","com.petstore.pet.PetFunctionalTest","com.petstore.pet.PetFunctionalTest",""
"","92","createNewPetSuccessfully","","","passed","","","com.petstore.pet.PetContractTest","com.petstore.pet.PetContractTest",""
"","219","returnPetById","","","passed","","","com.petstore.pet.PetFunctionalTest","com.petstore.pet.PetFunctionalTest",""
